Name,Start,End,Size
FUN_BATTLE_text__00478a80,0x00478A80,0x00478B0C,140
FUN_BATTLE_text__00478b10,0x00478B10,0x00478C58,328
FUN_BATTLE_text__00478c60,0x00478C60,0x00478D18,184
FUN_BATTLE_text__00478d20,0x00478D20,0x00479734,2580
FUN_BATTLE_text__00479740,0x00479740,0x00479748,8
FUN_BATTLE_text__00479750,0x00479750,0x00479758,8
FUN_BATTLE_text__00479760,0x00479760,0x00479774,20
FUN_BATTLE_text__00479780,0x00479780,0x00479788,8
FUN_BATTLE_text__00479790,0x00479790,0x00479798,8
FUN_BATTLE_text__004797a0,0x004797A0,0x004797A8,8
FUN_BATTLE_text__004797b0,0x004797B0,0x004797DC,44
FUN_BATTLE_text__004797e0,0x004797E0,0x004797E8,8
FUN_BATTLE_text__004797f0,0x004797F0,0x004797F8,8
FUN_BATTLE_text__00479800,0x00479800,0x00479830,48
FUN_BATTLE_text__00479830,0x00479830,0x00479864,52
FUN_BATTLE_text__00479870,0x00479870,0x00479904,148
FUN_BATTLE_text__00479910,0x00479910,0x00479944,52
FUN_BATTLE_text__00479950,0x00479950,0x00479968,24
FUN_BATTLE_text__00479970,0x00479970,0x004799A4,52
FUN_BATTLE_text__004799b0,0x004799B0,0x004799E4,52
FUN_BATTLE_text__004799f0,0x004799F0,0x00479A24,52
FUN_BATTLE_text__00479a30,0x00479A30,0x00479A58,40
FUN_BATTLE_text__00479a60,0x00479A60,0x00479A68,8
FUN_BATTLE_text__00479a70,0x00479A70,0x00479A84,20
FUN_BATTLE_text__00479a90,0x00479A90,0x00479AF4,100
thunk_FUN_0014f060,0x00479B00,0x00479B08,8
FUN_BATTLE_text__00479b10,0x00479B10,0x00479B18,8
FUN_BATTLE_text__00479b20,0x00479B20,0x00479B34,20
FUN_BATTLE_text__00479b40,0x00479B40,0x00479C30,240
FUN_BATTLE_text__00479c30,0x00479C30,0x00479D10,224
FUN_BATTLE_text__00479d10,0x00479D10,0x00479D38,40
FUN_BATTLE_text__00479d40,0x00479D40,0x00479E4C,268
FUN_BATTLE_text__00479e50,0x00479E50,0x00479EBC,108
FUN_BATTLE_text__00479ec0,0x00479EC0,0x0047A194,724
FUN_BATTLE_text__0047a1a0,0x0047A1A0,0x0047A208,104
FUN_BATTLE_text__0047a210,0x0047A210,0x0047A2CC,188
FUN_BATTLE_text__0047a2d0,0x0047A2D0,0x0047A374,164
FUN_BATTLE_text__0047a380,0x0047A380,0x0047A8A4,1316
FUN_BATTLE_text__0047a8b0,0x0047A8B0,0x0047A948,152
FUN_BATTLE_text__0047a950,0x0047A950,0x0047A9E4,148
FUN_BATTLE_text__0047a9f0,0x0047A9F0,0x0047AA8C,156
FUN_BATTLE_text__0047aa90,0x0047AA90,0x0047AED0,1088
FUN_BATTLE_text__0047aed0,0x0047AED0,0x0047AED8,8
FUN_BATTLE_text__0047aee0,0x0047AEE0,0x0047B0E8,520
FUN_BATTLE_text__0047b0f0,0x0047B0F0,0x0047B1B0,192
FUN_BATTLE_text__0047b1b0,0x0047B1B0,0x0047B88C,1756
FUN_BATTLE_text__0047b890,0x0047B890,0x0047B8B0,32
FUN_BATTLE_text__0047b8b0,0x0047B8B0,0x0047B8B8,8
FUN_BATTLE_text__0047b8c0,0x0047B8C0,0x0047B9B4,244
FUN_BATTLE_text__0047b9c0,0x0047B9C0,0x0047B9D0,16
FUN_BATTLE_text__0047b9d0,0x0047B9D0,0x0047BAEC,284
FUN_BATTLE_text__0047baf0,0x0047BAF0,0x0047BB00,16
FUN_BATTLE_text__0047bb00,0x0047BB00,0x0047BCAC,428
FUN_BATTLE_text__0047bcb0,0x0047BCB0,0x0047C5A8,2296
thunk_FUN_0014f390,0x0047C5B0,0x0047C5B8,8
FUN_BATTLE_text__0047c5c0,0x0047C5C0,0x0047C5D4,20
FUN_BATTLE_text__0047c5e0,0x0047C5E0,0x0047C5F0,16
